Ticker,Company,Industry,Country,Daily Change (%),Weekly Change (%),Monthly Change (%),Yearly Change (%)
Ticker,Company,Industry,Country,NAN,NAN,NAN,NAN
RELIANCE.NS,Reliance Industries Limited,Conglomerate,India,3.323418820566224,3.537409833966776,-1.3341677583641824,-14.91708822963829
TCS.NS,Tata Consultancy Services,Information Technology,India,0.26654412636961355,-0.03737242773115235,-10.378715473949951,-9.627367065582238
BHARTIARTL.NS,Bharti Airtel,Telecommunications,India,0.23356854759290238,-1.1936544444236523,-2.746387286603549,36.68314118743424
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Goods,India,-0.6489512003704772,-1.7995903348607414,-6.7390080693386825,-7.631919956857293
INFY.NS,Infosys,Information Technology,India,-1.7396611598134721,-4.4380233895098,-11.43330032425758,6.0847868002334655
WIPRO.NS,Wipro,Information Technology,India,-0.3847520556135106,-3.2937223113858236,-10.440255411016116,12.690285759274692
HCLTECH.NS,HCL Technologies,Information Technology,India,-1.7345233748737106,-4.373312186067171,-9.718081353090664,-1.5547631223923564
ASIANPAINT.NS,Asian Paints,Consumer Goods,India,0.10142650604796317,2.545574058327295,-0.044033465433729636,-20.01908960674481
LT.NS,Larsen & Toubro,Engineering & Construction,India,-0.46627048765966056,1.0967425197655398,-2.7630421609924887,-11.061986965546275
MARUTI.NS,Maruti Suzuki India Limited,Automotive,India,-0.01928615446636031,-5.786870114170245,-10.616112566573433,2.296016095228446
ITC.NS,ITC Limited,Conglomerate,India,-0.44368209425350336,0.5727061150432129,-4.775371239489132,0.9677882499845898
HDFCLIFE.NS,HDFC Life Insurance,Insurance,India,1.124142694222604,1.0996098842996938,-1.65172247890101,0.8643991975574203
NTPC.NS,NTPC Limited,Energy,India,-2.471147160207895,4.387068435352134,3.975382584212433,-4.371579763570871
POWERGRID.NS,Power Grid Corporation of India,Energy,India,-1.2563308382508809,2.7512147484756095,-5.338848257908705,-6.902636380381066
BAJAJ-AUTO.NS,Bajaj Auto,Automotive,India,1.5075881939093438,-7.987994200660836,-15.736871528164789,-13.996288661256958
NESTLEIND.NS,Nestle India,Consumer Goods,India,1.6922588054832928,-1.7447985625472926,0.5999664253166279,-11.651710034011721
SUNPHARMA.NS,Sun Pharmaceutical Industries,Pharmaceuticals,India,-0.2911989573652416,-2.3186616796282244,-8.029488860404111,1.1479569524198843
M&M.NS,Mahindra & Mahindra,Automotive,India,-0.5305500731335803,0.04768109166687635,-14.713372436645528,44.809016327260096
ULTRACEMCO.NS,UltraTech Cement,Cement,India,0.847194840853862,1.289763678548388,-9.09059029826743,10.048501504685072
TITAN.NS,Titan Company,Consumer Goods,India,-1.3376693695710569,-4.459991798099323,-10.086718822901172,-18.418066934604475
ADANIGREEN.NS,Adani Green Energy,Energy,India,-1.034340076096434,3.1352032284608873,-15.391610691558236,-56.601522844727455
ADANIPORTS.NS,Adani Ports and Special Economic Zone,Infrastructure,India,0.7305095216351966,6.075355836193276,-0.1396017467952149,-13.281484554969996
JSWSTEEL.NS,JSW Steel,Metals & Mining,India,0.004949938614724667,3.707694811698718,3.099671110279123,22.779617288134766
TATASTEEL.NS,Tata Steel,Metals & Mining,India,0.7444795925363791,9.279684829932004,9.579929313777019,-1.6765782314083422
SBILIFE.NS,SBI Life Insurance,Insurance,India,-0.4934528118162264,-3.7736616816395,-3.8521572601146525,-6.1952461109665835
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,India,0.18046948722359857,-0.6597422624747874,-9.149014706445993,55.84712842163875
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,India,-0.6008223605493068,0.684105622836751,-8.638344268388563,-7.685753953014676
CIPLA.NS,Cipla,Pharmaceuticals,India,-0.2257601387463657,1.2004251094431504,-0.9373441214552556,-0.831603281990124
BRITANNIA.NS,Britannia Industries,Consumer Goods,India,0.971817358892107,-0.7223761415570565,-2.5100092392978133,-1.6177939938027124
COALINDIA.NS,Coal India,Metals & Mining,India,-0.5096738567494058,4.6172839112689585,0.6344993777883344,-11.795827684359727
HINDALCO.NS,Hindalco Industries,Metals & Mining,India,1.3783947812369188,9.399471830288755,13.821196542238958,29.553416082858714
GRASIM.NS,Grasim Industries,Conglomerate,India,0.5681740526437647,2.8761319785673334,-3.230024702602066,8.455652739380524
IOC.NS,Indian Oil Corporation,Energy,India,-0.7946599086946242,7.23243283059192,-0.2158135010340632,-25.510276268405825
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,India,-1.4261993123412535,6.745662825587334,-1.1501998364544093,-11.97176176000375
HEROMOTOCO.NS,Hero MotoCorp,Automotive,India,0.10277492291880781,-2.847416510959687,-12.41052321466794,-18.94019928154614
EICHERMOT.NS,Eicher Motors,Automotive,India,0.12367095417561275,3.347182561290649,-5.059973741663851,36.245055097408596
SHREECEM.NS,Shree Cement,Cement,India,-0.27279403903890526,-1.1347298400448715,-0.9341904495158482,13.700453518769862
TECHM.NS,Tech Mahindra,Information Technology,India,-0.7383003057258769,-6.038093777054147,-11.804858039243864,19.0584131993202
UPL.NS,UPL Limited,Chemicals,India,0.8243898316428246,-2.144029877212803,-1.793092763353362,30.819258384737818
TATAMOTORS.NS,Tata Motors,Automotive,India,1.3522962633871327,-0.03854752982892746,-8.270252876834984,-37.428981498401285
BAJAJFINSV.NS,Bajaj Finserv,Financial Services,India,-0.008122807321586307,-4.167640308743963,2.6107306074775716,16.658083890699295
ZEEL.NS,Zee Entertainment Enterprises,Media & Entertainment,India,5.8973323462315275,7.020071629136826,-5.015528877844025,-34.73905931343905
GODREJCP.NS,Godrej Consumer Products,Consumer Goods,India,1.4558865659631066,-0.5801764736820291,-5.55228833719223,-13.66610670759187
DLF.NS,DLF Limited,Real Estate,India,0.26303923524865197,3.8371672543738855,-11.934784204525666,-27.10397335630302
PIDILITIND.NS,Pidilite Industries,Chemicals,India,0.48026522924144893,2.7679149382758608,-4.159414144166624,-3.514557347752803
DMART.NS,Avenue Supermarts (DMart),Retail,India,1.4997909237748905,2.4635078606084537,-4.00427146637505,-8.465463331146653
BEL.NS,Bharat Electronics Limited,Defense,India,1.4801164486775866,9.720734237586088,-0.021655860399670688,29.522042195088726
GAIL.NS,GAIL (India) Limited,Energy,India,-2.056241289585929,-0.7717862616702884,-7.54750273708148,-12.957121829221363
ONGC.NS,Oil and Natural Gas Corporation,Energy,India,0.12467466832470965,0.8181815539603626,-6.432300080125504,-11.815162125309113
HINDZINC.NS,Hindustan Zinc,Metals & Mining,India,0.7627317421841232,4.274439855134335,-2.498012909624933,45.79121313326413
TATAPOWER.NS,Tata Power Company,Energy,India,-0.7343526834006953,2.3740240908419348,-4.263141824103201,-16.97174297269248
ADANITRANS.NS,Adani Transmission,Energy,India,NAN,NAN,NAN,NAN
ICICIPRULI.NS,ICICI Prudential Life Insurance,Insurance,India,-0.1090678168619222,-1.82224425315431,-8.415965507430972,-5.73691509228726
APOLLOHOSP.NS,Apollo Hospitals Enterprise,Healthcare,India,-0.9244353627967532,0.4995780470803147,-8.330073784848485,3.069378033042248
MUTHOOTFIN.NS,Muthoot Finance,Financial Services,India,0.11943190385154151,-1.3220724181269712,-2.9003629342209867,60.55993105674177
LTIM.NS,Larsen & Toubro Infotech,Information Technology,India,-2.0971968297507044,-3.210960095274193,-20.72742641946954,-6.688173794368341
HDFCAMC.NS,HDFC Asset Management Company,Financial Services,India,-0.20432054649169346,3.9416585453023214,-2.2473808887444284,4.1765247049454075
SBICARD.NS,SBI Cards and Payment Services,Financial Services,India,-0.5065252442442876,-2.5620090116173038,2.666195171836896,18.774216961570957
BIOCON.NS,Biocon,Pharmaceuticals,India,0.21021387598536034,7.006575493303894,-13.728018940465631,18.539370362561066
NAUKRI.NS,Info Edge (India) Limited,Internet Services,India,-1.0497585406885719,-7.416086737933954,-13.056449501273024,34.73753150331474
INDIGO.NS,InterGlobe Aviation (IndiGo),Aviation,India,-2.201623127126503,4.819505492422431,6.713178062152476,49.967797208808435
BAJFINANCE.NS,Bajaj Finance,Financial Services,India,-0.0754930794140288,-3.4564796232582817,-0.8230816886450129,31.54689045707389
HAVELLS.NS,Havells India,Consumer Electronics,India,0.6755160315784938,0.6408302379414298,-9.513036929578792,-4.804957120235276
COLPAL.NS,Colgate-Palmolive (India),Consumer Goods,India,0.8992212311632587,-0.91708800530939,-5.284819363318398,-2.3611673668498923
DABUR.NS,Dabur India,Consumer Goods,India,0.16161369554924243,-1.480379971590909,-5.938150112447815,-6.492578573261315
TATACHEM.NS,Tata Chemicals,Chemicals,India,0.07364374333469807,1.6773726528086372,-12.46510989669895,-37.16371240524488
MPHASIS.NS,Mphasis,Information Technology,India,-1.7392232180964573,-3.1202619672984695,-19.740282377549242,-5.650400810024453
AAPL,Apple Inc.,Technology,USA,1.5892599600832207,0.7458930677193795,5.016478688300433,40.68931035650104
MSFT,Microsoft Corporation,Technology,USA,-0.9020174249067225,0.19871061618794533,-4.396044833332653,-2.4388800076789368
NVDA,NVIDIA Corporation,Semiconductors,USA,1.9173399226130852,-6.2089046939095205,-15.63225554980303,28.77782851022912
AMZN,"Amazon.com, Inc.",E-Commerce,USA,-0.7224698407026494,-4.546328084424069,-14.53632987834398,13.629879135775633
GOOGL,Alphabet Inc.,Technology,USA,0.8761209477004692,3.1810092643035977,-6.762482183622959,28.86068994781375
META,"Meta Platforms, Inc.",Social Media,USA,-0.36150837796054724,-4.949565139341231,-12.78785170720618,24.001240155989656
BRK.A,Berkshire Hathaway Inc.,Conglomerate,USA,NAN,NAN,NAN,NAN
TSLA,"Tesla, Inc.",Automotive,USA,-0.29607088371812856,-6.838091131253397,-25.10763116932883,49.80610181008194
AVGO,Broadcom Inc.,Semiconductors,USA,8.643081654717703,-1.4357918574690267,-17.052411384080106,50.976528204840974
TSM,Taiwan Semiconductor Manufacturing Company,Semiconductors,Taiwan,0.7108330717169136,-2.203318965742421,-14.835292761463704,22.707587429647393
V,Visa Inc.,Financial Services,USA,0.33705359419052294,-2.9291008028901024,-1.5172276699659488,24.230926693248
JNJ,Johnson & Johnson,Healthcare,USA,0.5186037513451391,1.8078585421775102,8.936903987763067,7.847012812773185
WMT,Walmart Inc.,Retail,USA,-3.085374247439711,-5.2381440715648075,-10.882235860378815,54.39016910338068
JPM,JPMorgan Chase & Co.,Banking,USA,-1.7279121533404984,-6.473649798846681,-10.610983197655246,31.664282102434377
PG,Procter & Gamble Co.,Consumer Goods,USA,0.7385739488637505,2.314354654467444,5.025964442366989,12.436126690323864
MA,Mastercard Incorporated,Financial Services,USA,-0.5547247739877585,-3.1957061646025706,-3.3103982433652366,17.17952799761515
UNH,UnitedHealth Group Incorporated,Healthcare,USA,1.1810074943017315,5.318425294002634,-7.478857921525018,4.756549667967209
SSNLF,"Samsung Electronics Co., Ltd.",Technology,South Korea,0.0,0.0,0.0,-99.97437718472477
NSRGY,Nestlé S.A.,Consumer Goods,Switzerland,2.4939618530282806,5.5509535479213845,19.807215862898694,-1.6261932341607208
RHHBY,Roche Holding AG,Pharmaceuticals,Switzerland,1.9512199012183904,5.912164199157029,10.0551610183864,34.96298503330819
ASML,ASML Holding N.V.,Semiconductors,Netherlands,2.4313053543055507,4.94767921630056,-1.5939208303300951,-25.899003375613432
CVX,Chevron Corporation,Energy,USA,2.216410236866891,-0.21063498749698686,1.4791480856589203,8.823257947570374
LLY,Eli Lilly and Company,Pharmaceuticals,USA,-4.73070601404512,-3.9307920268593532,0.2530462159595103,14.838457828186591
HD,"Home Depot, Inc.",Retail,USA,-1.2914947872767453,-3.451457093779057,-8.983309577207802,2.78132651952719
PFE,Pfizer Inc.,Pharmaceuticals,USA,1.8673771928058354,2.413789852715418,3.3243087557178987,4.354875521105397
BAC,Bank of America Corporation,Banking,USA,0.4854480399306244,-5.572830411418447,-10.732231372193231,19.164610639515033
ABBV,AbbVie Inc.,Pharmaceuticals,USA,1.679712116788998,4.521504643689569,12.58274530263533,24.18007970184845
KO,Coca-Cola Company,Beverages,USA,1.3766693631945919,0.7901757258232334,10.658399578852714,23.675380021358748
NVO,Novo Nordisk A/S,Pharmaceuticals,Denmark,-0.988190297063697,-2.297694489699377,3.885108288117057,-33.77354288759522
TM,Toyota Motor Corporation,Automotive,Japan,1.4239231225874596,4.3339883417761165,2.7666676670988313,-21.678615048450833
XOM,Exxon Mobil Corporation,Energy,USA,1.3008677390401184,-1.0258782271074358,-0.8784823536332127,3.9858402262594748
ORCL,Oracle Corporation,Software,USA,2.795813669303005,-5.826651593101538,-13.279675134134838,39.5087871032348
LRLCY,L'Oréal S.A.,Consumer Goods,France,0.5366702753396352,8.7190787883337,11.6345013587964,-18.219358344305885
MRK,"Merck & Co., Inc.",Pharmaceuticals,USA,0.6914909849775598,4.493265193806663,9.548610942476573,-21.2684746875782
PEP,"PepsiCo, Inc.",Beverages,USA,-0.10995289326318693,1.5918945539614784,6.9899521380379666,-2.9877054640571488
CSCO,"Cisco Systems, Inc.",Networking,USA,0.8358283875922535,0.20372551421442495,1.7990721679851491,33.24832748833684
BABA,Alibaba Group Holding Limited,E-Commerce,China,0.4787411100788366,2.9805873119512127,26.320513387250372,95.34485709758634
INTC,Intel Corporation,Semiconductors,USA,-0.5301234233810241,-10.610657196833587,4.400601475672285,-52.601596003665975
VZ,Verizon Communications Inc.,Telecommunications,USA,4.13746744289964,6.447887418560798,15.294118882770203,24.451102577322033
DIS,Walt Disney Company,Entertainment,USA,0.07588146715651678,-5.2106688972930355,-3.4498505537873716,-3.4930657876133933
CMCSA,Comcast Corporation,Media,USA,3.6393704939743663,6.2164475865545015,9.051345579909217,-8.907627517163492
NFLX,"Netflix, Inc.",Streaming Services,USA,-1.6825544205909277,-7.471940920742516,-13.282404970528383,47.334740015284524
T,AT&T Inc.,Telecommunications,USA,1.459039669569861,0.8178484156987699,9.090909788396322,66.84210168120039
MDT,Medtronic plc,Healthcare,Ireland,1.471064948981034,4.143709747354705,4.029066280997566,14.797482784507446
ABT,Abbott Laboratories,Healthcare,USA,1.5250203810110992,0.9347201870181583,4.439876581715111,15.686831783759656
TMO,Thermo Fisher Scientific Inc.,Biotechnology,USA,0.7713606267960107,1.6207101696101531,-3.82555510242924,-10.785173166047326
CRM,Salesforce.com Inc.,Software,USA,-1.104692633938621,-4.072560019198444,-13.542174787743349,-6.816667557981361
ADBE,Adobe Inc.,Software,USA,1.0387146746407487,2.792834096592717,-0.37685927378177464,-18.541211204164583
AMGN,Amgen Inc.,Biotechnology,USA,2.215083338086401,6.2258771732871905,11.090781886201425,22.287767779179674
BMY,Bristol-Myers Squibb Company,Pharmaceuticals,USA,1.512130014618569,3.8945594306810785,10.012608491833676,19.24690953077885
QCOM,Qualcomm Incorporated,Semiconductors,USA,3.3196668530173903,4.952926851412394,-5.410070886175674,-3.587718023945495
PYPL,"PayPal Holdings, Inc.",Financial Services,USA,3.525266541318079,-0.35345679080261594,-9.918193658884729,19.43739258032634
ACN,Accenture plc,Consulting,Ireland,0.09946066625701597,-4.116345627931653,-11.55626154200018,-8.396830941845156
COST,Costco Wholesale Corporation,Retail,USA,-6.069431518473507,-5.618034782827909,NAN,33.633071786419244
AZN,AstraZeneca PLC,Pharmaceuticals,UK,0.03872309129234673,2.4454705047008267,8.18467376688229,18.93253330623282
SAP,SAP SE,Software,Germany,-0.9092892454432024,0.8011586455041084,-1.403434700598568,45.22697584180921
BHP,BHP Group,Metals & Mining,Australia,-1.0455687387168604,1.620743977245362,-1.298701006248387,NAN
SHEL,Shell plc,Energy,UK,1.1816372580735948,-0.7135361253039935,2.0829623711077536,8.086072046894962
TTE,TotalEnergies SE,Energy,France,1.003620636069087,2.2314740543092197,1.7232824222411711,-1.6063584236298032
HSBC,HSBC Holdings plc,Banking,UK,0.5021660874932359,2.8510770849821903,11.11964145111308,NAN
NVS,Novartis AG,Pharmaceuticals,Switzerland,2.392129779870985,6.105399961138559,8.160974586083029,NAN
SNY,Sanofi,Pharmaceuticals,France,-0.28609588385036117,9.438494030217138,11.204957502782266,28.002341814995624
UL,Unilever PLC,Consumer Goods,UK,1.6824026476160139,5.762193605956059,2.5127215018255065,24.41647384001316
RIO,Rio Tinto Group,Metals & Mining,UK,1.005035846037346,6.378880049558661,3.7471761875414797,NAN
GSK,GlaxoSmithKline plc,Pharmaceuticals,UK,1.9083969836130117,7.372654306297289,11.020807967628338,-3.382297413835547
PLD,"Prologis, Inc.",Real Estate,USA,-0.32418901060263844,-2.329553685068503,0.36829533515565194,-8.332937701589927
UNP,Union Pacific Corporation,Transportation,USA,1.6471615834625013,2.289413006500308,2.5992194090521874,1.5756087935485097
NEE,"NextEra Energy, Inc.",Energy,USA,4.02799544176111,5.837568713948079,5.351660407831007,29.53282501127445
TCEHY,Tencent Holdings Limited,Technology,China,-1.0587320664960131,7.823614236013576,20.743364992394913,99.35634197125232
JD,"JD.com, Inc.",E-Commerce,China,-3.7112871615976006,-0.5876821688284181,0.284569010653653,75.76723276168914
PDD,Pinduoduo Inc.,E-Commerce,China,0.08345724785159828,1.0448246213186547,3.077189224466841,8.682256796273723
NIO,NIO Inc.,Automotive,China,5.424529044557735,-6.680588188096433,3.2332533245351556,-22.931040634581446
BYDDY,BYD Company Limited,Automotive,China,-2.154610059136894,-11.877133049940952,4.329254076533694,92.03049991739998
LCID,"Lucid Group, Inc.",Automotive,USA,2.8708221847926585,-3.5874404942513323,-22.382667502824443,-30.645156080343067
RIVN,"Rivian Automotive, Inc.",Automotive,USA,1.2692687825210083,-3.706899060647272,-14.010775418724702,-12.597806653497804
STLA,Stellantis N.V.,Automotive,Netherlands,-0.15686633540134803,1.3534961539819508,-1.8504296056383989,-50.17596561237101
RACE,Ferrari N.V.,Automotive,Italy,0.6402474308053047,-2.3756791403705213,-2.4392340564524875,7.53507055574162
ZM,"Zoom Video Communications, Inc.",Software,USA,0.6624271035542687,4.253576043281532,-12.766929175654857,13.132815982558268
DOCU,"DocuSign, Inc.",Software,USA,0.07522275355830405,-1.7839529650823784,-12.139553934848028,42.62998050735404
NOW,"ServiceNow, Inc.",Software,USA,-1.8983059962469035,-7.636598268315699,-16.752624566678822,12.267713692527906
TWLO,Twilio Inc.,Software,USA,-2.508956703237651,-9.518932306432255,-26.567910216723174,71.48399738829522
SNOW,Snowflake Inc.,Software,USA,1.7219321600221291,-8.50941250017131,-14.619596050357615,-2.149008845775918
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,USA,-4.092258515727483,-12.29223422964141,-22.246575221608538,3.2987435945934784
ZS,"Zscaler, Inc.",Cybersecurity,USA,3.264736211499976,8.712178218970418,-1.773869239220164,5.068192632590727
OKTA,"Okta, Inc.",Cybersecurity,USA,1.096926099004598,26.067944123304837,15.134137031607848,1.9401625842605388
PANW,"Palo Alto Networks, Inc.",Cybersecurity,USA,0.8922047780013412,-3.50400390625,-7.87678294371884,29.14345809670957
FTNT,"Fortinet, Inc.",Cybersecurity,USA,-0.4325623634741916,-5.425341075054322,-7.549068043890155,41.9481442820654
TEAM,Atlassian Corporation Plc,Software,Australia,-4.707573158605814,-14.227236718229552,-26.03579649328517,14.396550344466426
ADSK,"Autodesk, Inc.",Software,USA,-0.245790780150156,-8.004252032928937,-14.833270495077402,3.1326925158929564
ESTC,Elastic N.V.,Software,Netherlands,-4.378458521319646,-6.200630780991478,-18.37786708636312,-10.148494293252037
MDB,"MongoDB, Inc.",Software,USA,-2.7619452529058552,-28.489771244349843,-34.47059523134576,-51.058894339157405
DDOG,"Datadog, Inc.",Software,USA,-1.6418462642080018,-3.435216742546203,-25.472472668512104,-9.628225653482717
NET,"Cloudflare, Inc.",Networking,USA,-3.2590475753468198,-9.92751641523424,-26.517481614305343,29.349936486593283
FSLY,"Fastly, Inc.",Networking,USA,2.1538440997783956,-1.337297954425279,-37.24007642374653,-52.401433998045476
PINS,"Pinterest, Inc.",Social Media,USA,-0.6085166464398902,-5.170027720627041,-13.471241762890578,-1.7192041907890694
SNAP,Snap Inc.,Social Media,USA,1.2499987582366165,-2.702697800553952,-9.243695308982018,-21.54963682251121
BMBL,Bumble Inc.,Social Media,USA,7.399575120955844,-0.392156496088299,-40.58479753940878,-53.265869575077986
MTCH,"Match Group, Inc.",Social Media,USA,4.1174561484841385,2.321203860095615,-3.003277145857889,-3.2131015057699392
SPOT,Spotify Technology S.A.,Streaming Services,Sweden,-2.08130106504056,-9.929587854628137,-16.558206409260873,105.1272120685848
ROKU,"Roku, Inc.",Streaming Services,USA,-3.6809049765602184,-5.914835956778435,-9.373522988421266,18.868214215419087
PARA,Paramount Global,Media,USA,3.2312934272540326,8.007122691560847,15.071091221251804,13.136059176914392
WBD,"Warner Bros. Discovery, Inc.",Media,USA,3.4579429173325673,0.6363608620383523,10.921845717275879,26.804126864690105
EA,Electronic Arts Inc.,Gaming,USA,2.3759047880072317,7.343236301740374,6.171759351164555,4.1698301088261935
TTWO,"Take-Two Interactive Software, Inc.",Gaming,USA,-1.7029842542388707,-1.863505478939156,-3.8492272774107663,42.16239331029528
RBLX,Roblox Corporation,Gaming,USA,-2.3903048201699466,-5.394675028573932,-12.11376558513407,43.13970990152751
U,Unity Software Inc.,Gaming,USA,4.447325964730521,-7.565913398792488,18.578436207835555,-10.606056868171546
